"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2"
51,1,0,0,1,"Hispanic",0,57,90,84
49,0,1,1,1,"Hispanic",0,50,50,50
49,1,1,1,1,"Hispanic",0,17,50,50
19,0,0,0,1,"Hispanic",0,0,16,9
18,0,0,0,1,"Hispanic",0,50,100,100
49,0,1,1,1,"Hispanic",0,50,60,85
40,1,0,1,1,"Hispanic",0,47,50,50
54,1,0,0,1,"Hispanic",0,50,50,0
72,0,1,1,1,"Caucasian",0,50,50,53
80,0,1,1,1,"Caucasian",1,50,50,14
50,0,0,1,1,"Caucasian",1,0,12,0
23,1,0,1,0,"Hispanic",0,50,50,58
30,1,0,1,0,"Hispanic",0,4,50,50
53,0,1,1,1,"Hispanic",0,50,50,50
66,1,1,1,1,"Hispanic",0,10,0,12
69,0,1,1,1,"Caucasian",0,60,75,50
23,1,0,1,0,"Hispanic",1,50,80,80
71,1,1,1,0,"Hispanic",0,0,0,0
41,0,0,0,0,"Hispanic",0,0,0,0
70,0,1,1,0,"Hispanic",0,0,0,0
66,1,1,1,0,"Hispanic",0,50,50,50
43,1,1,1,1,"Hispanic",0,100,100,100
40,0,0,0,1,"Caucasian",1,73,81,75
82,1,0,0,1,"Hispanic",1,26,95,74
60,1,1,1,0,"Hispanic",1,50,50,50
59,0,1,1,0,"Hispanic",1,40,50,50
67,0,1,1,0,"Hispanic",1,50,50,0
66,1,1,1,0,"Hispanic",0,50,50,50
37,0,1,1,0,"Hispanic",0,50,52,56
48,1,0,0,1,"Hispanic",0,84,94,93
24,0,0,0,0,"Caucasian",0,50,50,0
46,1,0,1,0,"Hispanic",1,50,50,0
25,1,1,1,1,"Hispanic",1,100,100,100
56,1,1,1,1,"Caucasian",1,71,67,65
24,1,1,1,0,"Hispanic",1,50,84,100
78,1,1,1,1,"Hispanic",1,50,50,50
26,1,0,0,1,"Hispanic",0,50,92,82
51,1,1,1,1,"Hispanic",0,50,50,84
51,0,0,0,1,"Hispanic",0,50,67,79
55,0,1,1,0,"Hispanic",0,50,50,50
69,0,1,1,0,"Caucasian",0,39,25,30
57,1,1,1,0,"Hispanic",0,43,41,27
51,1,1,1,0,"Hispanic",0,26,43,75
60,0,0,1,0,"Hispanic",0,50,34,38
58,0,0,0,0,"Hispanic",0,25,42,39
18,0,0,0,0,"Hispanic",1,45,30,40
41,0,0,0,1,"Hispanic",0,50,50,50
